MatchFk,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,red_p1,red_p2,red_p3,red_p4,red_p5,result,rank_fk,rank_name,Patch
EUW1_7569628745,182,83,186,49,144,57,146,100,110,143,1,10,Challenger,15.20.719.545
EUW1_7569596530,5,81,111,183,82,125,45,40,22,93,1,10,Challenger,15.20.719.545
EUW1_7569553429,5,81,129,155,105,13,151,177,63,103,1,10,Challenger,15.20.719.545
EUW1_7569515311,127,19,116,63,154,57,81,40,132,44,1,10,Challenger,15.20.719.545
EUW1_7569453856,125,179,150,188,34,121,81,7,10,53,0,10,Challenger,15.20.719.545
EUW1_7569384057,5,170,99,63,34,136,169,68,7,113,1,10,Challenger,15.20.719.545
EUW1_7569347114,38,116,27,19,4,56,81,68,24,103,1,10,Challenger,15.20.719.545
EUW1_7569280683,139,186,33,63,165,0,29,151,85,94,1,10,Challenger,15.20.719.545
EUW1_7569230902,125,55,33,140,4,5,29,51,142,152,1,10,Challenger,15.20.719.545
EUW1_7569198942,0,179,33,165,118,69,81,3,142,4,0,10,Challenger,15.20.719.545
EUW1_7571282272,56,55,26,183,118,98,151,27,93,122,0,10,Challenger,15.20.719.545
EUW1_7571232318,56,33,181,58,104,44,81,159,183,122,1,10,Challenger,15.20.719.545
EUW1_7571187995,125,150,146,155,103,61,151,147,132,20,0,10,Challenger,15.20.719.545
EUW1_7571025701,105,97,1,183,103,56,186,68,9,94,1,10,Challenger,15.20.719.545
EUW1_7570975295,43,113,155,40,144,139,161,150,63,103,0,10,Challenger,15.20.719.545
EUW1_7570948142,0,97,65,183,53,139,113,13,59,94,1,10,Challenger,15.20.719.545
EUW1_7570175981,5,73,190,93,4,138,116,172,63,154,1,10,Challenger,15.20.719.545
EUW1_7570095363,0,108,117,12,103,75,151,181,188,87,1,10,Challenger,15.20.719.545
EUW1_7570038784,2,126,104,9,86,71,185,57,63,103,1,10,Challenger,15.20.719.545
EUW1_7569969646,0,81,24,89,152,43,55,13,85,86,1,10,Challenger,15.20.719.545
EUW1_7569932958,139,100,89,183,132,121,74,146,160,86,1,10,Challenger,15.20.719.545
EUW1_7569891551,61,45,147,183,65,121,186,129,22,103,0,10,Challenger,15.20.719.545
EUW1_7569870767,125,107,111,142,101,56,74,190,58,103,0,10,Challenger,15.20.719.545
EUW1_7569110281,57,141,33,142,114,5,81,189,64,115,1,10,Challenger,15.20.719.545
EUW1_7569054806,0,45,129,63,18,38,33,24,176,15,0,10,Challenger,15.20.719.545
