MatchId,Patch,QueueType,RankFk,GameDuration
EUW1_6893148064,14.7.571.9528,CLASSIC,5,2094
EUW1_6893228284,14.7.571.9528,CLASSIC,5,1628
EUW1_6894104796,14.7.571.9528,CLASSIC,5,1315
EUW1_6894130439,14.7.571.9528,CLASSIC,5,1302
EUW1_6894226070,14.7.571.9528,CLASSIC,5,1406
EUW1_6903713832,14.8.575.9209,CLASSIC,4,1860
EUW1_6904144820,14.8.575.9209,CLASSIC,5,2079
EUW1_6904244425,14.8.575.9209,CLASSIC,5,1404
EUW1_6904298894,14.8.575.9209,CLASSIC,5,1920
EUW1_6904365729,14.8.575.9209,CLASSIC,5,1662
EUW1_6911508138,14.8.576.8838,ARAM,2,755
EUW1_6911536545,14.8.576.8838,ARAM,2,956
EUW1_6911562653,14.8.576.8838,ARAM,2,1267
EUW1_6922969168,14.8.578.3867,ARAM,2,1055
EUW1_6954621581,14.10.586.9705,CLASSIC,0,1129
EUW1_6954631697,14.10.586.9705,CLASSIC,0,1791
EUW1_6967730187,14.11.589.9418,CLASSIC,5,1484
EUW1_6967824559,14.11.589.9418,CLASSIC,5,1893
EUW1_6968032990,14.11.589.9418,CLASSIC,5,1806
EUW1_6969343062,14.11.589.9418,CLASSIC,0,1159
EUW1_6969374406,14.11.589.9418,CLASSIC,0,1640
EUW1_6970389366,14.11.589.9418,CLASSIC,0,1451
EUW1_6970431191,14.11.589.9418,CLASSIC,0,752
EUW1_6970558425,14.11.589.9418,CLASSIC,0,726
EUW1_6970591379,14.11.589.9418,CLASSIC,0,1766
EUW1_6971436516,14.12.592.6341,CLASSIC,0,1940
EUW1_6971481328,14.12.592.6341,CLASSIC,0,2316
EUW1_6971489773,14.12.592.6341,CLASSIC,0,1239
EUW1_6971518975,14.12.592.6341,CLASSIC,0,2386
EUW1_6971565099,14.12.592.6341,CLASSIC,0,2292
EUW1_6971620209,14.12.593.5894,CLASSIC,0,1763
EUW1_6971686527,14.12.593.5894,CLASSIC,0,1298
EUW1_6971722912,14.12.593.5894,CLASSIC,0,1456
EUW1_6971758933,14.12.593.5894,CLASSIC,0,1663
EUW1_6971802473,14.12.593.5894,CLASSIC,0,1477
EUW1_6971828640,14.12.593.5894,CLASSIC,0,1227
EUW1_6971845967,14.12.593.5894,CLASSIC,0,1982
EUW1_6971878553,14.12.593.5894,CLASSIC,0,2562
EUW1_6972342166,14.12.593.5894,CLASSIC,0,1653
EUW1_6972480718,14.12.593.5894,CLASSIC,0,1989
EUW1_6972520315,14.12.593.5894,CLASSIC,0,1356
EUW1_6972553428,14.12.593.5894,CLASSIC,0,1942
EUW1_6972645393,14.12.593.5894,CLASSIC,0,2487
EUW1_6972728274,14.12.593.5894,CLASSIC,0,2098
EUW1_6972789427,14.12.593.5894,CLASSIC,0,969
EUW1_6972829707,14.12.593.5894,CLASSIC,0,1201
EUW1_6972859712,14.12.593.5894,CLASSIC,0,1729
EUW1_6973760564,14.12.594.4901,CLASSIC,0,1603
EUW1_6973801674,14.12.594.4901,CLASSIC,0,1993
EUW1_6974841992,14.12.594.4901,CLASSIC,0,2038
EUW1_6974891270,14.12.594.4901,CLASSIC,0,838
EUW1_6975478833,14.12.594.4901,CLASSIC,0,2193
EUW1_6975524335,14.12.594.4901,CLASSIC,0,1454
EUW1_6975561260,14.12.594.4901,CLASSIC,0,2387
EUW1_6975615990,14.12.594.4901,CLASSIC,0,1922
EUW1_6978169082,14.12.594.4901,CLASSIC,0,2656
EUW1_6978251031,14.12.594.4901,CLASSIC,0,2067
EUW1_6979265356,14.12.594.4901,CLASSIC,0,2626
EUW1_6980301977,14.12.594.4901,CLASSIC,0,105
EUW1_6986913951,14.13.596.7996,CLASSIC,0,2502
EUW1_6987659902,14.13.596.7996,CLASSIC,4,1884
EUW1_6987796394,14.13.596.7996,CLASSIC,0,1906
EUW1_6988122561,14.13.596.7996,CLASSIC,0,1772
EUW1_6988156174,14.13.596.7996,CLASSIC,0,1503
EUW1_6989937416,14.13.596.7996,CLASSIC,0,1775
EUW1_6989990662,14.13.596.7996,CLASSIC,0,1566
EUW1_6993966587,14.13.598.9749,CLASSIC,0,2134
EUW1_6994027662,14.13.598.9749,CLASSIC,0,1638
EUW1_6994295244,14.13.598.9749,CLASSIC,4,2200
EUW1_6995263403,14.13.598.9749,CLASSIC,0,1459
EUW1_6995671812,14.13.598.9749,CLASSIC,0,1819
EUW1_6995709879,14.13.598.9749,CLASSIC,0,1673
EUW1_6995744560,14.13.598.9749,CLASSIC,0,1785
EUW1_6995823152,14.13.598.9749,CLASSIC,0,2586
EUW1_6995874266,14.13.598.9749,CLASSIC,0,1885
EUW1_6995931471,14.13.598.9749,CLASSIC,0,1648
EUW1_6995973545,14.13.598.9749,CLASSIC,0,1808
EUW1_6996276950,14.13.598.9749,CLASSIC,0,2129
EUW1_6996322651,14.13.598.9749,CLASSIC,0,2126
EUW1_6996750811,14.13.598.9749,CLASSIC,0,947
EUW1_6997489758,14.13.598.9749,CHERRY,0,1407
EUW1_6997502044,14.13.598.9749,CHERRY,0,1503
EUW1_6997738610,14.13.598.9749,CHERRY,0,1274
EUW1_6998058330,14.13.598.9749,CLASSIC,0,826
EUW1_6998103028,14.13.598.9749,CLASSIC,0,1849
EUW1_6998238816,14.13.598.9749,CLASSIC,0,909
EUW1_6998255942,14.13.598.9749,CLASSIC,0,631
EUW1_6998269679,14.13.598.9749,CLASSIC,0,105
EUW1_6998276701,14.13.598.9749,CLASSIC,0,1730
EUW1_6998289727,14.13.598.9749,CLASSIC,0,914
EUW1_6998351448,14.13.598.9749,CLASSIC,0,154
EUW1_6998602079,14.13.598.9749,CLASSIC,0,2345
EUW1_6998613851,14.13.598.9749,CLASSIC,0,2331
EUW1_6998659554,14.13.598.9749,CLASSIC,0,1935
EUW1_6998691216,14.13.598.9749,CLASSIC,0,2110
EUW1_6998733194,14.13.598.9749,CLASSIC,0,931
EUW1_6998756143,14.13.598.9749,CLASSIC,0,2271
EUW1_6998988544,14.13.598.9749,CLASSIC,0,2257
EUW1_6999004632,14.13.598.9749,CLASSIC,0,1924
EUW1_6999013778,14.13.598.9749,CLASSIC,0,2633
EUW1_6999289938,14.13.598.9749,CLASSIC,0,1800
EUW1_6999321058,14.13.598.9749,CLASSIC,0,107
EUW1_6999325554,14.13.598.9749,CLASSIC,0,1789
EUW1_6999338401,14.13.598.9749,CLASSIC,0,1371
EUW1_6999349789,14.13.598.9749,CHERRY,0,1333
EUW1_6999351442,14.13.598.9749,CLASSIC,0,2281
EUW1_6999385067,14.13.598.9749,CLASSIC,0,1552
EUW1_6999413757,14.13.598.9749,CLASSIC,0,2481
EUW1_6999661389,14.13.598.9749,CLASSIC,4,240
EUW1_6999963978,14.13.598.9749,CLASSIC,0,1450
EUW1_6999980732,14.13.598.9749,CLASSIC,0,1527
EUW1_6999994297,14.13.598.9749,CLASSIC,0,1603
EUW1_7000185181,14.13.598.9749,CLASSIC,0,2379
EUW1_7000246533,14.13.598.9749,CLASSIC,0,2127
EUW1_7000285676,14.13.598.9749,CLASSIC,0,1304
EUW1_7000312599,14.13.598.9749,CLASSIC,0,1888
EUW1_7000343385,14.13.598.9749,CLASSIC,0,900
EUW1_7000361296,14.13.598.9749,CLASSIC,0,1895
EUW1_7000409318,14.13.598.9749,CLASSIC,0,1539
EUW1_7000450085,14.13.598.9749,CHERRY,0,1281
EUW1_7000479260,14.13.598.9749,ARAM,0,107
