TeamID,MatchFk,B1Champ,B2Champ,B3Champ,B4Champ,B5Champ,R1Champ,R2Champ,R3Champ,R4Champ,R5Champ,BlueBaronKills,BlueRiftHeraldKills,BlueDragonKills,BlueTowerKills,BlueKills,RedBaronKills,RedRiftHeraldKills,RedDragonKills,RedTowerKills,RedKills,RedWin,BlueWin
163886,KR_8016473592,106,35,6,360,53,83,233,84,523,89,0,0,0,0,17,0,0,0,3,20,1,0
163887,KR_8016459062,92,76,14,81,497,150,875,777,50,235,0,0,0,0,4,0,1,1,3,22,1,0
163888,KR_8026545061,904,59,112,236,201,17,245,910,51,13,1,0,2,6,29,0,1,3,9,29,1,0
163889,KR_8026428509,36,126,245,21,526,82,246,517,222,412,0,0,4,10,36,2,0,0,8,34,1,0
163890,KR_8026366501,82,104,4,51,78,98,131,55,523,902,0,0,0,0,6,0,0,2,2,18,1,0
163891,KR_8024564703,41,5,234,22,902,240,421,61,429,888,0,1,1,4,27,0,0,1,2,18,0,1
163892,KR_8024488022,164,54,517,523,101,85,245,950,498,111,0,0,0,1,14,1,1,3,7,44,1,0
163893,KR_8024382189,897,131,61,15,201,266,64,4,81,43,1,1,3,11,31,0,0,2,3,12,0,1
163894,KR_8024294754,113,904,84,81,25,111,876,39,523,117,0,0,0,1,23,1,1,4,10,45,1,0
163895,KR_8024196389,68,245,897,901,22,41,64,950,523,33,2,1,5,9,44,0,0,0,5,39,0,1
163896,KR_8023245943,875,64,84,119,518,75,126,245,236,111,1,0,3,10,53,1,1,3,6,43,0,1
163897,KR_8020962121,31,245,84,145,53,24,54,99,221,34,0,0,2,2,13,0,0,0,1,8,0,1
163898,KR_8020915135,24,35,142,523,412,122,245,112,15,111,2,1,4,10,47,0,0,1,5,29,0,1
163899,KR_8020875968,150,48,84,81,45,41,20,55,22,412,0,0,0,0,7,0,0,1,3,24,1,0
163900,KR_8020834069,17,54,238,235,147,887,254,7,81,350,0,0,1,2,16,1,1,2,10,39,1,0
163901,KR_8020754463,516,126,84,22,518,114,64,517,145,201,1,0,2,7,47,0,0,2,5,29,0,1
163902,KR_8019710798,82,246,25,523,43,799,126,7,804,143,0,0,1,1,18,1,1,2,9,48,1,0
163903,KR_8019641490,24,36,84,51,37,54,238,517,15,497,0,0,1,2,13,0,0,0,11,53,1,0
163904,KR_8019554168,266,517,134,81,43,897,121,69,804,875,0,0,1,3,23,0,0,1,0,2,0,1
163905,KR_8019488268,14,56,800,15,902,777,54,134,81,517,1,1,2,7,37,0,0,1,3,22,0,1
163906,KR_8019441076,875,950,800,523,412,799,64,84,202,267,0,0,0,1,10,0,0,2,2,23,1,0
163907,KR_8003449082,106,32,112,110,53,10,203,84,51,99,0,0,1,1,30,1,1,3,10,43,1,0
163908,KR_8024209064,777,5,142,81,99,24,56,84,15,161,0,1,1,1,16,0,0,2,4,27,1,0
163909,KR_8024127917,777,80,101,222,85,83,234,13,51,142,2,1,4,11,46,0,0,0,2,29,0,1
163910,KR_8021722345,36,56,112,236,54,82,233,13,202,101,0,0,4,6,38,0,0,0,1,18,0,1
163911,KR_8021633760,82,238,777,202,143,83,64,55,51,99,1,0,3,9,31,0,0,1,4,12,0,1
163912,KR_8021568901,126,245,800,523,147,777,122,517,236,201,0,1,2,11,36,0,0,1,0,19,0,1
163913,KR_8021509973,54,19,13,21,80,83,59,7,202,99,0,1,2,4,18,0,0,1,2,19,0,1
163914,KR_8021447531,106,163,25,804,53,516,75,142,523,12,0,1,1,1,12,1,0,2,7,38,1,0
163915,KR_8021416370,516,233,1,222,412,897,54,55,523,117,0,0,0,0,7,0,0,2,1,17,1,0
163916,KR_8019282898,67,121,84,897,136,110,131,3,901,21,0,0,2,2,27,2,1,3,12,45,1,0
163917,KR_8019209038,887,126,69,222,89,106,245,777,804,53,1,0,3,9,48,0,1,2,6,46,0,1
163918,KR_8019096366,85,126,55,236,201,54,254,103,222,117,0,0,4,10,30,0,1,0,2,12,0,1
163919,KR_8019035354,36,246,13,51,53,19,234,26,222,68,0,1,2,4,19,1,0,2,6,22,1,0
163920,KR_8018975528,13,950,711,236,40,54,517,112,222,16,1,0,0,4,18,0,1,4,4,19,1,0
163921,KR_8017218035,126,24,517,145,147,82,234,55,222,50,0,0,2,5,28,2,1,2,8,39,1,0
163922,KR_8017163017,157,35,39,51,89,122,60,23,222,432,0,0,2,5,40,0,1,2,9,44,1,0
163923,KR_8017107019,75,54,45,222,22,31,56,3,145,555,1,1,3,8,38,0,0,1,1,24,0,1
163924,KR_8017042922,897,234,800,51,101,904,54,84,523,412,0,0,1,3,21,1,1,3,7,35,1,0
163925,KR_8016973821,41,517,238,236,518,875,20,84,523,111,1,0,3,7,48,1,1,3,10,43,1,0
163926,KR_8016902163,799,131,84,18,25,58,238,91,222,63,2,1,3,10,67,1,0,4,9,67,1,0
163927,KR_8015257135,126,131,43,222,53,18,254,36,51,555,0,1,2,2,27,1,0,3,11,36,1,0
163928,KR_7940897312,157,35,711,119,147,83,233,517,145,7,1,0,4,8,46,2,1,2,13,52,1,0
163929,KR_7940863836,122,234,800,119,163,98,517,90,51,57,0,0,0,0,7,0,1,2,2,16,1,0
163930,KR_7928959263,62,266,3,15,32,122,54,145,81,25,1,1,4,10,32,1,0,2,6,26,0,1
163931,KR_7908299740,83,154,238,21,45,875,64,268,22,111,1,1,1,11,50,0,0,2,1,27,0,1
163932,KR_7908084798,85,154,238,804,143,86,24,13,236,517,1,1,3,5,37,1,0,2,10,42,1,0
163933,KR_7908057625,23,203,517,22,117,85,76,238,21,111,0,0,0,4,10,0,1,3,7,36,1,0
163934,KR_7908024481,240,36,1,18,526,17,64,134,145,53,0,0,0,1,24,0,1,4,10,36,1,0
163935,KR_7907994777,157,11,517,222,117,75,234,131,236,16,1,1,4,11,27,0,0,0,3,29,0,1
163936,KR_7901773058,36,104,61,145,89,122,32,131,81,800,0,0,2,3,32,1,1,2,12,43,1,0
163937,KR_7896834135,897,122,901,51,63,54,106,800,145,89,0,0,0,1,11,0,1,3,9,30,1,0
163938,KR_7896786324,777,104,245,145,98,875,102,90,222,412,1,1,3,9,28,0,0,1,5,19,0,1
163939,KR_7896760498,36,233,61,145,161,887,59,103,222,235,0,0,0,0,12,0,1,2,9,23,1,0
163940,KR_7896740376,13,24,777,22,143,126,517,10,145,12,0,1,1,2,14,0,0,2,8,32,1,0
163941,KR_7896723365,893,64,157,119,110,122,121,268,222,267,0,1,1,1,14,0,0,2,3,22,1,0
163942,KR_7883842237,122,238,20,21,45,67,91,10,360,53,1,1,3,8,44,0,0,0,3,20,0,1
163943,KR_7883829440,777,64,131,21,45,86,517,711,202,53,1,0,4,8,47,0,1,1,6,33,0,1
163944,KR_7870019484,122,24,61,895,412,84,32,777,360,89,0,1,2,10,38,1,0,3,5,30,0,1
163945,KR_7869965644,122,106,55,22,412,82,59,90,29,201,1,1,1,9,16,0,0,4,2,27,0,1
163946,KR_7869949411,82,62,41,202,17,12,121,8,22,161,0,0,0,0,1,0,0,2,1,13,1,0
163947,KR_7868926161,420,233,38,51,3,517,19,131,21,223,0,0,2,11,44,0,0,0,0,22,0,1
