gameid,league,patch,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,result,red_p1,red_p2,red_p3,red_p4,red_p5
LOLTMNT06_104170,TCL,15.04,5,13,27,103,107,0,57,131,36,82,14
LOLTMNT06_105171,AL,15.04,90,114,27,60,145,1,5,64,40,178,146
LOLTMNT03_201513,RL,15.04,163,52,82,43,166,1,141,36,122,171,23
LOLTMNT02_223410,HW,15.03,5,163,122,1,152,1,169,60,82,36,150
LOLTMNT06_104173,TCL,15.04,5,36,82,1,107,0,57,169,62,122,13
LOLTMNT06_104176,AL,15.04,169,62,13,118,125,0,36,107,111,122,56
LOLTMNT05_114436,PRM,15.03,14,27,103,25,107,0,122,128,163,150,54
LOLTMNT03_202386,RL,15.04,27,113,128,150,4,1,170,58,40,34,111
LOLTMNT06_105177,TCL,15.04,5,10,20,178,111,1,64,169,57,124,13
LOLTMNT02_223413,HW,15.03,27,83,118,36,60,1,163,131,114,111,38
LOLTMNT05_113437,LFL,15.03,36,60,14,52,4,1,5,131,2,64,124
LOLTMNT05_113438,PRM,15.03,93,4,74,181,60,1,140,86,113,171,56
LOLTMNT06_105179,EBL,15.04,107,62,13,122,125,1,5,36,131,1,4
LOLTMNT06_104186,AL,15.04,38,111,107,36,118,1,163,57,2,110,124
LOLTMNT02_223424,HW,15.03,93,90,23,59,118,1,5,82,83,62,57
LOLTMNT05_113439,LFL,15.03,141,59,122,13,56,0,140,86,178,139,150
LOLTMNT03_202412,RL,15.04,163,141,5,150,82,0,36,14,125,72,122
LOLTMNT06_104192,EBL,15.04,93,178,43,147,82,0,163,169,129,57,103
LOLTMNT05_113440,PRM,15.03,178,133,82,136,13,1,5,90,20,22,147
LOLTMNT03_201572,LPLOL,15.04,90,27,5,83,181,1,163,60,49,103,105
LOLTMNT06_105181,AL,15.04,113,1,187,122,44,0,131,181,103,140,13
LOLTMNT05_113442,LFL,15.03,128,62,113,103,40,1,107,95,112,146,114
LOLTMNT03_202427,RL,15.04,27,171,107,128,15,0,147,113,155,103,181
LOLTMNT05_113443,PRM,15.03,36,16,118,180,44,0,58,15,6,112,24
LOLTMNT06_105184,EBL,15.04,93,60,163,113,124,1,169,36,5,146,103
LOLTMNT03_201591,LPLOL,15.04,36,191,82,65,43,0,10,113,66,125,146
LOLTMNT05_113445,LFL,15.03,155,171,0,20,185,1,43,111,82,176,109
LOLTMNT05_113446,PRM,15.03,155,115,78,137,43,0,154,64,146,174,139
LOLTMNT06_105186,EBL,15.04,131,181,62,23,118,0,90,14,43,187,114
LOLTMNT03_201606,LPLOL,15.04,13,62,107,6,112,0,150,95,122,52,42
LOLTMNT02_224454,LCKC,15.03,57,14,113,27,131,1,169,163,128,171,4
LOLTMNT02_223470,LCKC,15.03,43,107,111,95,122,0,10,56,178,65,20
LOLTMNT03_201682,LJL,15.04,65,175,161,140,148,0,5,169,22,34,40
11771-11771_game_1,LPL,15.04,128,178,14,163,124,1,5,169,1,36,65
LOLTMNT02_223471,LCKC,15.03,60,82,58,83,181,1,36,23,136,66,134
11771-11771_game_2,LPL,15.04,105,104,43,95,181,1,125,64,83,27,4
LOLTMNT03_202542,LJL,15.04,60,122,181,59,90,0,56,65,20,74,163
LOLTMNT02_223472,LCKC,15.03,8,74,161,62,115,1,125,40,170,118,155
11771-11771_game_3,LPL,15.04,57,188,82,131,56,0,44,10,20,80,93
LOLTMNT03_201713,LJL,15.04,13,141,57,62,122,0,87,107,104,187,20
11771-11771_game_4,LPL,15.04,60,103,32,171,191,0,59,86,114,170,13
LOLTMNT03_202613,LJL,15.04,10,113,82,150,5,0,40,178,20,58,23
LOLTMNT06_104216,TCL,15.04,57,27,113,82,1,0,163,90,122,56,150
LOLTMNT06_105202,TCL,15.04,64,124,60,175,14,0,90,57,36,18,146
LOLTMNT03_201773,RL,15.04,128,113,171,9,154,1,36,43,1,173,115
LOLTMNT02_224470,HW,15.03,60,36,104,178,171,1,43,14,62,113,122
LOLTMNT06_105204,AL,15.04,60,187,178,118,78,1,5,163,131,122,40
LOLTMNT06_104228,TCL,15.04,60,36,82,111,135,1,64,43,124,129,178
LOLTMNT02_224482,HW,15.03,141,36,125,171,114,1,5,83,122,140,56
LOLTMNT02_224481,LVP SL,15.03,191,163,57,139,82,0,60,170,36,122,147
LOLTMNT03_201780,RL,15.04,125,83,14,4,27,1,175,5,190,59,86
LOLTMNT05_114454,LFL,15.03,27,169,128,40,20,1,131,95,60,171,118
LOLTMNT06_105214,AL,15.04,36,175,112,82,8,0,113,57,1,59,90
LOLTMNT06_104232,TCL,15.04,128,107,111,27,114,0,163,169,60,1,34
LOLTMNT02_224484,LVP SL,15.03,14,90,5,103,62,1,112,86,140,1,178
LOLTMNT06_105218,EBL,15.04,163,5,49,83,103,1,13,36,175,128,4
LOLTMNT03_201797,ROL,15.04,27,175,114,65,13,1,76,5,128,4,186
LOLTMNT02_224486,HW,15.03,5,113,104,111,27,0,125,90,171,187,175
LOLTMNT05_114463,LFL,15.03,36,14,5,4,178,0,82,62,125,170,146
LOLTMNT03_202713,RL,15.04,163,181,131,103,42,1,36,171,5,83,20
LOLTMNT06_105221,AL,15.04,60,169,40,59,20,0,27,43,114,49,83
LOLTMNT02_223494,LVP SL,15.03,150,80,4,187,25,0,171,113,20,176,43
LOLTMNT06_105227,EBL,15.04,27,60,178,171,118,1,10,170,122,46,181
LOLTMNT05_113455,LFL,15.03,13,155,18,6,56,1,187,86,175,172,44
LOLTMNT03_201821,ROL,15.04,163,60,111,74,20,0,36,122,169,1,44
LOLTMNT03_202740,RL,15.04,128,169,118,14,140,0,122,40,176,175,150
LOLTMNT02_223496,LVP SL,15.03,169,136,59,124,11,0,141,13,160,40,15
LOLTMNT06_105235,AL,15.04,64,131,14,115,125,1,163,124,13,90,25
LOLTMNT03_201837,LPLOL,15.04,169,43,36,82,150,1,60,175,27,103,24
LOLTMNT06_104237,EBL,15.04,141,56,146,140,86,1,90,43,168,187,184
LOLTMNT05_113457,LFL,15.03,90,106,132,111,139,1,140,141,122,43,147
LOLTMNT03_202752,ROL,15.04,90,52,181,59,103,0,131,56,140,150,152
LOLTMNT06_104239,AL,15.04,36,175,150,118,139,1,178,187,171,82,46
LOLTMNT03_202764,LPLOL,15.04,163,141,114,111,112,0,95,122,83,171,110
LOLTMNT06_105238,EBL,15.04,90,62,150,122,43,1,36,14,60,131,113
LOLTMNT06_104241,EBL,15.04,27,175,111,112,136,0,95,178,1,82,134
LOLTMNT03_201849,LPLOL,15.04,131,160,86,129,125,0,52,59,118,14,139
LOLTMNT03_202795,LPLOL,15.04,155,6,146,54,128,0,147,90,107,62,51
LOLTMNT03_201855,LPLOL,15.04,13,56,22,38,154,0,181,178,187,44,18
LOLTMNT03_201899,LJL,15.04,36,74,65,93,5,0,13,169,64,4,56
LOLTMNT03_202888,LJL,15.04,60,150,27,1,122,1,141,128,163,171,124
LOLTMNT03_202936,LJL,15.04,60,59,86,25,45,1,163,90,113,65,150
LOLTMNT03_202941,VCS,15.04,57,107,150,27,122,0,169,1,60,163,103
LOLTMNT03_203001,LJL,15.04,60,107,13,187,86,0,5,27,178,20,14
LOLTMNT03_203013,VCS,15.04,5,169,150,62,114,1,163,170,190,82,57
LOLTMNT03_205007,LJL,15.04,128,113,181,180,118,1,40,169,8,59,148
LOLTMNT03_204017,VCS,15.04,5,170,40,10,20,1,13,178,60,95,122
LOLTMNT03_205033,VCS,15.04,64,107,5,122,2,1,27,191,57,36,4
LOLTMNT03_205024,LJL,15.04,13,128,178,122,59,0,5,131,49,187,86
LOLTMNT05_115018,LEC,15.03,169,36,122,27,128,1,60,90,181,62,4
LOLTMNT05_115019,LEC,15.03,14,59,131,112,82,0,178,163,150,103,46
LOLTMNT05_115021,LEC,15.03,64,20,1,139,54,1,32,13,124,80,25
LOLTMNT05_115027,LEC,15.03,141,187,65,147,57,1,140,86,6,129,23
LOLTMNT03_204329,LJL,15.04,141,175,25,59,124,0,5,113,190,20,9
LOLTMNT03_205312,PCS,15.04,13,62,60,178,114,0,5,36,169,147,20
11772-11772_game_1,LPL,15.04,57,169,1,95,114,1,82,105,181,58,175
LOLTMNT03_204365,HLL,15.04,27,191,103,62,139,1,122,36,93,60,107
LOLTMNT03_205333,PCS,15.04,56,83,27,95,122,0,131,161,181,187,118
LOLTMNT03_205334,VCS,15.04,141,36,128,181,82,0,5,27,169,150,118
11772-11772_game_2,LPL,15.04,163,178,118,129,44,1,62,13,56,4,0
LOLTMNT03_205340,LJL,15.04,141,13,36,118,110,0,163,178,139,147,191
LOLTMNT06_107080,NLC,15.04,64,107,111,4,56,1,163,113,5,103,1
LOLTMNT03_205346,RL,15.04,14,62,122,156,125,1,36,82,147,141,57
LOLTMNT03_204384,VCS,15.04,64,161,124,107,129,1,60,163,65,90,49
LOLTMNT03_204386,HLL,15.04,163,175,111,125,115,0,90,140,86,14,57
LOLTMNT06_106072,LFL2,15.04,163,65,178,2,82,1,90,36,103,128,155
11772-11772_game_3,LPL,15.04,5,146,80,176,122,1,10,107,40,23,86
LOLTMNT03_204418,RL,15.04,163,49,175,103,5,0,58,60,169,150,4
LOLTMNT06_107089,LFL2,15.04,27,191,20,10,139,0,122,142,66,57,140
LOLTMNT06_106074,NLC,15.04,141,62,60,6,13,0,36,52,82,23,145
11772-11772_game_4,LPL,15.04,14,90,27,65,112,0,60,49,113,34,32
LOLTMNT03_204430,VCS,15.04,57,1,178,176,113,1,170,62,122,146,139
LOLTMNT03_204434,LJL,15.04,60,176,13,170,114,0,23,169,2,118,62
LOLTMNT03_205408,HLL,15.04,49,131,5,36,118,1,178,111,176,56,103
LOLTMNT03_204457,RL,15.04,113,22,154,44,1,1,27,111,34,173,0
LOLTMNT06_107097,NLC,15.04,128,178,181,176,133,1,27,131,43,147,65
LOLTMNT06_107098,LFL2,15.04,64,125,14,141,34,1,5,86,59,25,99
LOLTMNT03_204467,VCS,15.04,5,14,169,36,82,1,60,13,80,163,118
LOLTMNT03_204478,HLL,15.04,90,57,10,40,20,0,59,54,0,146,133
LOLTMNT06_107104,LFL2,15.04,49,85,101,60,131,1,6,95,53,116,43
LOLTMNT03_204484,VCS,15.04,105,57,10,147,90,1,83,27,95,4,56
LOLTMNT03_205432,RL,15.04,95,137,114,188,43,0,56,131,59,93,15
LOLTMNT06_106084,NLC,15.04,10,154,173,41,177,1,54,59,0,122,40
LOLTMNT06_106085,LFL2,15.04,76,42,109,133,147,1,175,94,51,9,46
LOLTMNT03_204501,HLL,15.04,163,122,33,141,112,1,14,140,86,175,181
LOLTMNT03_204514,VCS,15.04,170,1,114,155,44,1,175,32,171,122,161
LOLTMNT03_204525,RL,15.04,184,72,40,155,181,0,178,65,23,176,118
LOLTMNT05_115043,LEC,15.03,14,52,60,82,163,1,36,90,122,142,44
LOLTMNT05_115044,LEC,15.03,64,150,178,103,128,0,5,114,131,49,10
LOLTMNT05_115046,LEC,15.03,113,171,43,187,189,0,176,118,175,112,11
LOLTMNT05_116037,LEC,15.03,191,27,56,20,22,0,181,169,62,139,115
LOLTMNT05_115052,LEC,15.03,86,173,95,146,23,0,13,54,58,65,125
LOLTMNT03_204638,PCS,15.04,128,169,40,36,82,1,112,163,171,113,124
LOLTMNT03_204661,PCS,15.04,5,62,103,131,181,0,60,27,114,175,145
LOLTMNT03_204670,VCS,15.04,191,163,27,4,56,1,57,105,10,122,161
LOLTMNT03_205607,HLL,15.04,128,131,181,176,20,1,60,141,82,113,188
LOLTMNT03_204673,RL,15.04,90,60,82,64,150,1,5,191,62,4,139
LOLTMNT03_205626,PCS,15.04,14,163,5,178,114,1,113,57,36,146,20
LOLTMNT06_107153,LFL2,15.04,141,58,111,15,5,1,52,10,20,14,125
LOLTMNT03_204676,VCS,15.04,78,0,36,80,114,0,128,113,62,171,103
LOLTMNT03_204684,HLL,15.04,163,114,4,44,49,0,122,169,57,62,146
LOLTMNT03_204692,PCS,15.04,60,175,62,1,34,0,27,170,46,136,171
LOLTMNT06_106169,NLC,15.04,36,52,25,173,118,1,163,141,82,23,171
LOLTMNT03_204695,RL,15.04,27,131,103,0,49,1,128,113,122,58,166
LOLTMNT06_107175,LFL2,15.04,163,113,13,118,128,0,36,82,191,155,60
LOLTMNT03_205672,VCS,15.04,10,191,57,78,4,0,128,169,147,59,122
LOLTMNT03_205689,HLL,15.04,178,10,133,139,29,1,32,90,56,15,129
LOLTMNT03_205688,RL,15.04,141,59,86,13,41,1,125,171,52,36,15
LOLTMNT06_106172,NLC,15.04,169,177,122,62,185,0,27,147,139,170,20
LOLTMNT06_107179,LFL2,15.04,122,178,32,147,139,1,95,103,54,171,25
LOLTMNT03_204732,VCS,15.04,64,107,111,115,125,0,22,171,170,112,20
LOLTMNT06_106175,LFL2,15.04,27,170,1,18,112,0,90,22,150,4,46
LOLTMNT03_204740,HLL,15.04,86,140,175,43,171,1,187,184,112,107,87
LOLTMNT06_106178,NLC,15.04,113,10,131,166,60,0,175,111,56,176,53
LOLTMNT03_205710,RL,15.04,10,178,124,2,11,1,95,175,18,7,78
LOLTMNT06_106180,LFL2,15.04,49,74,114,40,9,1,131,2,62,34,41
LOLTMNT03_204771,RL,15.04,22,65,56,40,146,0,173,140,184,71,155
LOLTMNT05_116057,LEC,15.03,36,169,82,112,111,0,163,90,150,122,0
LOLTMNT05_116059,LEC,15.03,191,60,27,155,18,0,141,181,128,10,4
LOLTMNT05_115078,LEC,15.03,171,58,178,118,43,1,22,129,113,154,162
LOLTMNT03_204882,PCS,15.04,27,191,5,95,103,1,57,163,66,181,118
LOLTMNT03_204891,PCS,15.04,36,65,13,113,56,1,62,34,80,177,162
LOLTMNT03_205869,PCS,15.04,60,169,1,62,114,0,5,65,178,27,103
LOLTMNT03_204907,PCS,15.04,57,64,104,2,90,0,128,36,107,147,122
LOLTMNT03_205905,PCS,15.04,57,105,82,181,36,1,128,27,136,170,2
LOLTMNT03_204946,PCS,15.04,60,113,111,62,115,0,163,169,43,40,118
LOLTMNT06_107202,TCL,15.04,163,131,5,82,181,1,169,140,128,1,4
LOLTMNT06_106203,TCL,15.04,107,10,13,86,114,0,64,124,113,56,171
LOLTMNT03_205951,HW,15.04,90,82,62,142,60,0,57,122,131,95,14
LOLTMNT06_106207,TCL,15.04,131,5,176,146,118,0,107,111,174,187,122
LOLTMNT03_205967,HW,15.04,36,83,150,15,23,0,175,118,171,160,125
LOLTMNT03_205965,NEXO,15.04,60,58,175,4,104,0,5,10,83,103,146
LOLTMNT06_107215,PRM,15.04,90,59,122,27,139,1,36,171,141,4,25
LOLTMNT03_205964,NEXO,15.04,60,36,147,103,170,0,13,27,113,112,20
LOLTMNT03_205991,HW,15.04,191,181,103,140,0,1,169,111,10,165,44
LOLTMNT06_107218,PRM,15.04,14,60,52,58,113,0,10,5,49,175,118
LOLTMNT06_106210,TCL,15.04,57,178,36,82,78,0,163,44,28,4,168
LOLTMNT03_206022,NEXO,15.04,141,62,60,171,113,0,36,175,46,49,20
LOLTMNT03_205996,NEXO,15.04,90,56,36,124,150,0,60,29,62,103,171
LOLTMNT06_107226,PRM,15.04,163,13,124,114,54,1,178,82,140,56,40
LOLTMNT03_207029,NEXO,15.04,5,54,62,103,171,0,36,90,13,114,113
LOLTMNT03_206058,NEXO,15.04,13,95,162,80,82,0,139,52,140,78,20
LOLTMNT06_107240,TCL,15.04,90,5,62,118,49,1,57,36,178,82,14
LOLTMNT03_207200,HW,15.04,141,163,111,5,154,1,57,171,54,122,140
LOLTMNT06_106233,TCL,15.04,169,122,27,111,43,0,163,150,170,114,139
LOLTMNT03_206244,HW,15.04,128,175,64,147,82,1,27,131,51,150,20
LOLTMNT03_206242,RL,15.04,13,36,122,141,2,1,27,60,103,93,83
LOLTMNT06_107248,TCL,15.04,103,128,58,80,129,0,10,175,4,112,1
LOLTMNT03_206255,HW,15.04,169,60,118,14,187,1,173,103,176,38,145
LOLTMNT06_106235,PRM,15.04,122,25,163,28,2,0,139,171,27,82,83
LOLTMNT03_207221,RL,15.04,163,173,82,7,43,0,58,169,118,150,0
LOLTMNT03_206261,ROL,15.04,163,175,13,5,4,0,111,140,178,60,114
LOLTMNT03_207234,RL,15.04,10,178,128,114,171,1,62,175,181,4,147
LOLTMNT06_106241,PRM,15.04,155,114,150,170,60,1,64,124,191,49,43
LOLTMNT03_206278,ROL,15.04,36,20,170,112,129,1,62,90,189,57,0
LOLTMNT03_206280,RL,15.04,95,131,56,133,188,0,22,54,71,40,94
LOLTMNT06_107257,PRM,15.04,112,178,62,147,86,0,36,14,20,136,52
LOLTMNT03_206288,ROL,15.04,171,54,128,122,95,1,181,10,154,40,46
LOLTMNT03_206290,RL,15.04,86,176,52,25,23,1,6,155,18,57,125
LOLTMNT06_106254,TCL,15.04,163,169,5,82,13,1,131,64,174,49,152
LOLTMNT03_207359,HW,15.04,36,52,82,147,60,1,141,163,4,171,23
LOLTMNT03_207375,HW,15.04,118,83,181,140,139,1,103,131,62,150,56
LOLTMNT06_107272,TCL,15.04,60,62,181,170,4,1,36,43,103,191,142
LOLTMNT06_106258,TCL,15.04,128,113,150,106,132,1,107,122,14,65,140
LOLTMNT03_206439,HW,15.04,128,47,40,27,145,0,0,175,111,155,65
LOLTMNT06_106259,TCL,15.04,10,28,1,18,44,1,171,86,187,54,23
LOLTMNT06_107278,TCL,15.04,111,27,114,173,110,1,40,155,25,34,30
LOLTMNT06_106260,AL,15.04,131,60,27,122,181,1,163,128,14,113,4
LOLTMNT06_107280,AL,15.04,5,36,178,2,118,0,111,107,64,174,114
LOLTMNT06_107281,AL,15.04,90,155,103,140,139,0,10,13,20,173,43
LOLTMNT06_106264,AL,15.04,27,90,57,181,114,0,36,175,147,118,88
LOLTMNT06_106265,AL,15.04,113,1,5,187,20,0,178,122,125,168,140
LOLTMNT03_206516,LJL,15.04,5,178,36,118,171,0,60,163,20,113,146
LOLTMNT03_206518,LJL,15.04,163,113,20,71,7,1,5,178,27,15,22
LOLTMNT03_206522,LJL,15.04,27,46,56,114,111,0,60,178,14,118,187
LOLTMNT03_207464,LJL,15.04,60,150,122,187,129,1,128,27,90,4,95
LOLTMNT03_207473,LJL,15.04,56,14,141,140,82,1,139,163,150,111,20
LOLTMNT06_107292,TCL,15.04,5,175,13,95,82,0,57,131,150,27,122
LOLTMNT06_107293,TCL,15.04,163,60,14,124,178,1,169,58,46,1,15
LOLTMNT03_207492,HW,15.04,141,82,59,5,1,0,52,122,60,10,150
LOLTMNT06_106275,TCL,15.04,113,36,103,40,23,0,10,105,20,43,38
LOLTMNT03_206564,LVP SL,15.04,90,36,14,114,43,0,163,113,122,60,147
LOLTMNT03_206568,HW,15.04,14,163,57,118,54,1,128,103,27,140,112
LOLTMNT06_106277,TCL,15.04,128,132,106,107,2,0,170,112,181,140,118
LOLTMNT03_207500,LVP SL,15.04,191,57,95,139,118,1,27,170,13,82,5
LOLTMNT03_206569,ROL,15.04,90,122,175,140,111,1,163,5,20,170,147
LOLTMNT03_207506,HW,15.04,90,62,139,20,147,1,36,191,4,0,142
LOLTMNT03_206585,LVP SL,15.04,131,140,86,150,112,0,59,65,28,103,46
LOLTMNT06_107301,TCL,15.04,111,187,86,56,110,0,54,59,18,147,71
LOLTMNT03_206586,ROL,15.04,36,169,150,4,43,1,14,82,113,62,57
LOLTMNT03_207519,HW,15.04,83,155,188,125,15,1,181,170,44,58,65
LOLTMNT06_106283,AL,15.04,122,163,111,5,107,1,27,141,147,4,23
LOLTMNT03_206609,LVP SL,15.04,10,178,1,25,124,0,22,80,146,20,0
LOLTMNT03_207530,ROL,15.04,27,56,112,132,13,1,178,10,86,98,25
LOLTMNT03_206614,HW,15.04,187,86,175,131,2,1,171,176,43,173,114
LOLTMNT06_106286,AL,15.04,60,178,129,118,176,1,131,128,155,82,58
LOLTMNT03_207538,ROL,15.04,114,188,60,58,185,1,171,103,52,110,187
LOLTMNT06_107305,AL,15.04,36,90,103,57,1,1,140,175,13,184,43
LOLTMNT03_207544,ROL,15.04,107,1,160,44,143,1,176,118,129,156,0
LOLTMNT06_107307,AL,15.04,10,170,20,40,139,1,113,62,78,104,28
LOLTMNT06_106291,AL,15.04,181,54,188,115,30,1,49,59,25,56,86
LOLTMNT03_206642,LJL,15.04,131,23,49,187,86,1,178,5,177,62,18
LOLTMNT03_206654,LJL,15.04,178,5,150,187,184,1,113,60,190,65,32
LOLTMNT03_206675,LJL,15.04,131,57,14,130,103,1,5,163,86,178,146
LOLTMNT03_206676,VCS,15.04,5,169,13,95,118,0,191,27,60,36,122
LOLTMNT03_207614,LJL,15.04,131,5,14,95,122,1,90,64,56,181,118
LOLTMNT03_206681,VCS,15.04,10,170,40,147,103,1,128,113,163,171,20
LOLTMNT03_206700,VCS,15.04,161,4,176,175,78,1,62,0,82,14,90
LOLTMNT03_206710,VCS,15.04,57,90,171,176,4,0,27,191,60,95,103
LOLTMNT03_206713,VCS,15.04,64,131,124,23,150,1,128,169,65,22,155
LOLTMNT06_107315,AL,15.04,5,90,36,2,118,1,131,163,125,111,4
LOLTMNT06_107321,AL,15.04,27,178,14,103,112,0,169,150,64,122,46
LOLTMNT06_106303,AL,15.04,181,188,113,40,30,0,13,82,62,173,142
LOLTMNT03_206786,LJL,15.04,57,169,62,103,93,1,5,191,176,4,150
LOLTMNT03_206795,LJL,15.04,57,62,113,20,7,0,5,169,1,118,187
LOLTMNT03_206810,VCS,15.04,27,131,5,62,103,1,128,147,169,163,122
LOLTMNT03_206813,LJL,15.04,169,60,14,118,27,1,175,40,46,59,86
LOLTMNT03_207759,VCS,15.04,170,60,10,114,171,1,45,78,112,59,154
LOLTMNT06_107331,LFL2,15.04,163,65,178,20,146,1,181,90,128,122,62
LOLTMNT03_207763,LJL,15.04,131,5,49,113,103,0,128,191,181,58,82
LOLTMNT06_107332,LFL2,15.04,150,64,103,113,139,1,36,82,42,191,60
LOLTMNT03_206836,HW,15.04,52,14,36,4,112,0,191,57,122,142,25
LOLTMNT03_207783,LJL,15.04,131,172,150,27,103,0,57,49,163,170,82
LOLTMNT03_207780,VCS,15.04,141,60,27,62,122,0,57,107,111,64,82
LOLTMNT03_207790,VCS,15.04,10,83,139,49,4,1,56,131,163,14,114
LOLTMNT06_107333,LFL2,15.04,13,169,125,9,154,1,5,86,140,112,6
LOLTMNT03_206857,HW,15.04,5,58,82,54,171,1,163,103,125,83,181
LOLTMNT06_107334,LFL2,15.04,27,175,46,104,57,1,95,49,131,4,23
LOLTMNT03_207799,HW,15.04,141,62,180,40,0,1,128,155,150,6,43
LOLTMNT06_107335,LFL2,15.04,132,11,106,56,54,1,59,171,118,43,170
LOLTMNT03_207816,LPLOL,15.04,60,95,52,24,114,0,42,27,122,83,111
LOLTMNT03_207837,LPLOL,15.04,163,1,16,4,125,1,155,49,103,185,56
LOLTMNT03_206902,HW,15.04,128,169,122,140,27,0,40,36,178,118,171
LOLTMNT03_207841,LPLOL,15.04,191,90,139,176,150,0,82,66,25,9,85
LOLTMNT06_106323,PRM,15.04,90,59,60,20,181,1,171,163,107,103,69
LOLTMNT03_207844,HW,15.04,60,62,82,49,170,0,139,163,20,111,113
LOLTMNT06_107344,PRM,15.04,36,191,4,142,139,1,82,27,52,62,136
LOLTMNT06_107343,EBL,15.04,36,178,57,82,104,1,62,169,13,60,4
LOLTMNT03_207847,HW,15.04,90,52,181,114,155,1,125,131,142,15,24
LOLTMNT06_107345,PRM,15.04,122,49,141,22,23,1,114,83,155,128,58
LOLTMNT06_106327,EBL,15.04,141,27,171,134,118,1,175,150,5,10,65
LOLTMNT06_107346,EBL,15.04,163,131,142,148,56,0,107,1,122,95,44
LOLTMNT06_107347,EBL,15.04,113,11,58,54,43,0,90,129,140,103,180
LOLTMNT03_207866,LJL,15.04,131,14,60,187,20,0,5,27,83,82,62
LOLTMNT03_207892,LJL,15.04,131,5,14,103,187,0,128,27,150,170,82
LOLTMNT03_207900,VCS,15.04,60,169,27,49,4,1,62,128,141,122,155
LOLTMNT03_207901,LJL,15.04,141,128,5,64,124,1,131,181,56,27,82
LOLTMNT06_107349,LFL2,15.04,163,90,57,60,82,1,36,65,178,146,110
LOLTMNT03_207902,VCS,15.04,57,105,82,58,40,0,36,125,20,80,1
LOLTMNT06_106331,LFL2,15.04,142,191,20,125,64,1,66,122,42,59,56
LOLTMNT03_207905,HW,15.04,169,1,122,112,27,1,128,113,114,146,187
LOLTMNT03_206948,VCS,15.04,10,113,78,115,110,1,59,139,103,147,175
LOLTMNT06_106332,LFL2,15.04,27,70,51,46,189,1,128,103,169,176,171
LOLTMNT03_207907,HW,15.04,90,14,62,103,5,0,57,36,178,118,171
LOLTMNT06_106333,LFL2,15.04,76,86,14,131,112,0,87,133,181,113,43
LOLTMNT03_207913,HW,15.04,163,83,181,88,20,0,58,175,2,43,148
LOLTMNT06_107351,LFL2,15.04,5,141,49,4,11,1,175,132,106,44,164
LOLTMNT06_106334,TCL,15.04,57,36,170,150,122,0,5,163,82,175,111
LOLTMNT03_206976,HW,15.04,10,131,82,56,155,1,59,170,4,0,147
LOLTMNT01_212687,RL,15.05,52,14,125,140,20,1,103,10,43,19,142
LOLTMNT06_106337,TCL,15.04,90,62,60,118,13,1,128,27,131,176,103
LOLTMNT03_207928,HW,15.04,122,41,171,28,140,1,60,103,2,131,160
LOLTMNT01_212698,RL,15.05,113,64,122,13,49,0,27,82,60,28,147
LOLTMNT06_107354,TCL,15.04,10,178,112,129,4,0,58,14,46,80,65
LOLTMNT06_106340,LIT,15.04,141,36,147,82,42,1,83,163,103,60,23
LOLTMNT03_206984,HW,15.04,111,80,118,188,42,1,14,178,86,176,43
LOLTMNT01_210774,RL,15.05,163,169,118,23,93,1,36,141,65,181,173
LOLTMNT06_106346,EBL,15.04,5,62,103,175,1,0,169,36,125,82,145
LOLTMNT06_106347,LIT,15.04,191,142,122,0,176,0,169,181,128,27,20
LOLTMNT06_107355,TCL,15.04,169,1,56,76,20,1,113,140,44,181,133
LOLTMNT03_206988,HW,15.04,5,169,142,128,133,0,125,36,114,175,40
LOLTMNT06_107356,EBL,15.04,170,122,128,155,93,0,178,10,20,112,14
LOLTMNT01_210785,RL,15.05,57,175,1,6,155,1,58,54,40,29,88
LOLTMNT06_107357,LIT,15.04,10,56,65,124,125,0,178,95,118,1,25
LOLTMNT06_106348,TCL,15.04,107,71,59,115,38,1,187,54,86,40,78
LOLTMNT06_106353,EBL,15.04,27,150,118,139,54,0,141,95,13,133,43
LOLTMNT01_210872,FST,15.05,169,36,13,122,57,0,90,163,155,103,112
LOLTMNT01_210876,PCS,15.05,27,169,1,5,4,1,191,57,36,40,2
LOLTMNT01_210882,FST,15.05,14,23,131,95,82,1,5,10,141,11,113
LOLTMNT01_210884,FST,15.05,150,60,107,85,101,1,178,1,43,187,184
LOLTMNT01_212799,PCS,15.05,128,131,181,62,104,0,10,13,60,175,122
LOLTMNT01_212801,PCS,15.05,163,113,65,82,38,0,90,95,14,0,114
LOLTMNT01_210897,FST,15.05,141,14,36,56,4,1,169,13,95,82,71
LOLTMNT01_210904,FST,15.05,64,124,44,107,111,0,163,105,114,0,2
LOLTMNT03_207936,NEXO,15.04,141,57,187,103,147,1,60,52,49,155,20
LOLTMNT03_207937,NEXO,15.04,141,110,163,86,111,1,136,19,62,122,181
LOLTMNT03_207943,NEXO,15.04,36,5,131,20,171,1,49,62,170,57,118
LOLTMNT03_206999,NEXO,15.04,36,114,170,147,44,0,131,122,62,93,0
LOLTMNT03_208005,NEXO,15.04,13,139,28,62,122,1,150,113,46,187,53
LOLTMNT03_208006,NEXO,15.04,60,95,122,74,40,0,128,163,20,169,14
LOLTMNT01_213142,FST,15.05,128,141,36,171,82,1,5,169,62,13,118
LOLTMNT01_214068,FST,15.05,163,181,57,19,103,0,95,131,139,150,122
