gameid,league,patch,blue_p1,blue_p2,blue_p3,blue_p4,blue_p5,result,red_p1,red_p2,red_p3,red_p4,red_p5
LOLTMNT03_184375,LVP SL,15.01,27,178,111,4,128,0,171,60,163,122,56
LOLTMNT06_95294,NLC,15.01,141,32,171,103,43,1,90,59,49,175,82
LOLTMNT06_95295,NLC,15.01,27,6,111,43,82,0,163,175,60,49,20
LOLTMNT03_184416,LVP SL,15.01,163,107,111,5,4,1,95,169,122,14,43
LOLTMNT03_185307,LVP SL,15.01,27,141,5,1,103,0,139,122,181,19,176
LOLTMNT06_95297,NLC,15.01,27,14,125,54,103,0,163,60,169,147,20
LOLTMNT03_184504,LCKC,15.01,27,191,125,24,103,1,107,13,118,36,57
LOLTMNT03_185405,LCKC,15.01,128,169,181,36,82,1,5,131,14,27,122
LOLTMNT03_184518,LCKC,15.01,163,111,178,103,90,0,171,175,56,62,152
LOLTMNT03_184519,LCKC,15.01,10,171,170,20,90,1,56,131,58,14,122
LOLTMNT03_185467,LCK,15.01,10,105,82,125,49,1,27,191,22,5,15
LOLTMNT03_184583,LCK,15.01,169,13,118,155,112,0,57,178,40,59,86
11720-11720_game_1,LPL,15.01,128,171,163,122,170,0,27,191,60,95,4
11720-11720_game_2,LPL,15.01,13,5,178,114,176,0,57,169,36,82,172
LOLTMNT03_184622,LCK,15.01,64,131,128,34,142,1,5,124,13,163,107
LOLTMNT03_185513,LCP,15.01,163,131,181,103,56,0,57,191,95,118,125
11720-11720_game_3,LPL,15.01,10,80,20,41,150,0,175,58,118,43,145
LOLTMNT03_184660,LCK,15.01,27,191,82,56,36,0,90,14,10,122,41
LOLTMNT03_185549,LCP,15.01,60,178,171,62,4,1,36,114,111,80,5
LOLTMNT03_184704,LCP,15.01,107,58,122,139,49,0,22,175,20,44,150
LOLTMNT03_185634,LCP,15.01,27,128,175,58,82,0,60,22,87,40,74
LOLTMNT03_184820,LCP,15.01,95,131,5,118,181,1,56,59,20,191,125
LOLTMNT03_184865,LCP,15.01,163,57,178,4,13,1,36,170,112,103,146
LOLTMNT03_186192,LCK,15.01,163,57,83,114,134,1,27,131,5,82,95
LOLTMNT03_187100,LCK,15.01,169,10,43,150,103,0,113,128,36,34,189
LOLTMNT03_186260,LCK,15.01,169,150,5,36,114,0,57,178,40,176,118
11721-11721_game_1,LPL,15.01,60,111,107,27,82,1,163,171,57,118,126
LOLTMNT03_187132,LCK,15.01,27,82,175,112,171,0,128,13,22,34,80
11721-11721_game_2,LPL,15.01,13,175,125,36,20,0,169,95,43,172,4
LOLTMNT01_190147,LCP,15.01,27,105,57,95,4,1,10,191,82,181,5
LOLTMNT06_96308,LFL2,15.01,27,90,163,105,122,1,175,13,10,56,82
LOLTMNT01_190170,LCP,15.01,169,60,13,62,118,0,111,175,36,88,114
11721-11721_game_3,LPL,15.01,181,188,131,0,115,0,10,191,122,142,23
LOLTMNT06_96309,LFL2,15.01,27,141,103,125,8,0,122,76,66,56,142
LOLTMNT06_96312,LFL2,15.01,27,178,49,60,103,0,163,90,111,170,20
LOLTMNT01_190206,LCP,15.01,128,27,131,36,20,1,163,40,170,122,1
LOLTMNT06_96315,LFL2,15.01,141,163,122,49,125,1,40,103,132,29,43
LOLTMNT01_189225,LCP,15.01,57,169,2,22,104,0,95,171,178,161,103
LOLTMNT06_96344,LEC,15.01,171,131,60,187,122,0,163,90,111,42,4
LOLTMNT06_96348,LEC,15.01,27,52,56,150,4,1,125,131,14,122,95
LOLTMNT06_95363,LEC,15.01,171,56,90,122,36,1,57,178,40,59,20
LOLTMNT06_96368,LEC,15.01,141,163,122,14,60,1,95,52,171,4,56
LOLTMNT06_95385,LEC,15.01,171,36,131,4,57,1,95,175,2,122,44
LOLTMNT03_187435,LCK,15.01,169,128,40,82,62,0,57,178,14,118,176
LOLTMNT03_187440,LCK,15.01,181,188,5,4,170,0,60,10,2,122,80
LOLTMNT03_187470,LCK,15.01,60,191,27,4,36,0,105,163,181,82,13
11722-11722_game_1,LPL,15.01,171,178,60,95,82,1,163,175,2,90,20
LOLTMNT03_187471,LCK,15.01,57,175,40,59,148,0,178,5,146,122,95
11722-11722_game_2,LPL,15.01,57,191,58,5,103,1,10,169,122,150,65
LOLTMNT01_190269,LCP,15.01,141,163,171,5,4,0,10,13,170,56,115
11722-11722_game_3,LPL,15.01,107,13,59,86,56,0,125,170,129,118,62
LOLTMNT06_96403,LFL2,15.01,163,141,60,111,118,0,36,82,110,83,2
LOLTMNT01_189281,LCP,15.01,107,57,49,114,142,1,60,40,74,27,34
11722-11722_game_4,LPL,15.01,27,113,14,44,114,0,36,80,161,4,19
LOLTMNT06_95400,LFL2,15.01,10,128,122,54,2,1,111,107,112,95,114
LOLTMNT06_95402,LFL2,15.01,163,80,60,1,122,1,64,175,171,125,4
LOLTMNT01_189290,LCP,15.01,131,95,5,114,14,0,191,181,56,82,36
LOLTMNT06_95404,LFL2,15.01,13,90,9,4,146,1,57,131,163,122,40
LOLTMNT01_189291,LCP,15.01,10,175,20,125,146,0,178,27,118,44,40
LOLTMNT06_96430,LEC,15.01,171,90,36,56,82,1,163,40,178,57,122
LOLTMNT06_95435,LEC,15.01,27,131,14,125,82,0,128,169,181,62,122
LOLTMNT06_95446,LEC,15.01,64,124,60,178,1,0,27,90,163,128,122
LOLTMNT06_96459,LEC,15.01,169,64,124,5,146,0,60,163,131,133,111
LOLTMNT06_96473,LEC,15.01,141,36,122,128,181,1,52,14,27,82,5
LOLTMNT03_186856,LCKC,15.01,171,5,131,27,122,1,60,163,40,178,118
LOLTMNT03_186861,LCKC,15.01,10,57,82,191,181,0,128,113,111,58,4
11723-11723_game_1,LPL,15.01,60,82,105,188,57,1,128,163,122,178,13
LOLTMNT03_186902,LCKC,15.01,128,175,181,62,152,0,60,169,2,10,20
11723-11723_game_2,LPL,15.01,181,83,125,118,176,0,5,191,90,59,103
LOLTMNT03_186913,LCKC,15.01,64,124,125,80,78,0,163,150,178,44,34
11723-11723_game_3,LPL,15.01,169,56,62,157,34,0,36,175,171,112,40
LOLTMNT03_186938,LCKC,15.01,82,58,13,107,5,1,36,14,170,90,4
LOLTMNT03_186971,LCKC,15.01,60,175,163,1,103,1,5,169,13,95,122
LOLTMNT03_187887,LCKC,15.01,10,191,181,125,20,1,171,36,56,139,118
LOLTMNT03_188043,LCKC,15.01,57,74,40,9,86,1,111,178,128,59,115
LOLTMNT06_95500,LEC,15.01,27,90,60,122,49,1,64,131,110,24,82
LOLTMNT06_96516,LEC,15.01,171,52,27,82,125,0,90,163,122,49,57
LOLTMNT06_96529,LEC,15.01,27,191,60,122,181,1,169,36,118,5,1
LOLTMNT06_95531,LEC,15.01,171,32,178,122,114,1,27,105,181,60,82
LOLTMNT06_96548,LEC,15.01,27,131,60,181,114,1,163,169,5,150,124
LOLTMNT03_189101,LCKC,15.01,171,178,5,95,122,1,60,170,14,36,20
LOLTMNT03_188256,LCKC,15.01,22,74,40,56,124,0,169,13,58,114,15
11724-11724_game_1,LPL,15.01,60,175,163,150,118,1,10,114,20,169,1
11724-11724_game_2,LPL,15.01,82,178,36,13,112,1,57,95,80,34,172
LOLTMNT03_189120,LCKC,15.01,60,107,111,95,122,0,10,131,5,14,82
11724-11724_game_3,LPL,15.01,128,122,170,129,176,0,131,2,5,59,86
LOLTMNT03_189138,LCKC,15.01,57,113,150,36,65,1,170,13,51,22,34
11724-11724_game_4,LPL,15.01,64,125,104,78,72,0,191,103,188,139,180
LOLTMNT01_189329,HLL,15.01,171,90,95,60,133,1,175,36,20,76,5
LOLTMNT01_190305,HLL,15.01,175,60,95,82,146,1,5,90,27,173,161
LOLTMNT01_189338,HLL,15.01,27,107,111,4,125,0,171,169,122,62,60
LOLTMNT01_190317,HLL,15.01,163,0,52,122,13,0,128,170,103,27,150
LOLTMNT03_188414,LVP SL,15.01,27,139,122,83,181,0,163,141,5,118,1
LOLTMNT06_95554,PRM,15.01,169,60,171,176,118,1,175,13,40,122,9
LOLTMNT03_189278,LVP SL,15.01,90,27,122,0,181,0,169,36,128,4,14
LOLTMNT06_96575,PRM,15.01,27,178,111,5,124,1,163,131,56,2,86
